lv_name,oghist_name,iso3
Albania,Albania,ALB
Algeria,Algeria,DZA
Angola,Angola,AGO
Argentina,Argentina,ARG
Azerbaijan,Azerbaijan,AZE
Bangladesh,Bangladesh,BGD
Belarus,Belarus,BLR
Benin,Benin,BEN
Bolivia,Bolivia,BOL
Botswana,Botswana,BWA
Brazil,Brazil,BRA
Bulgaria,Bulgaria,BGR
Burkina Faso,Burkina Faso,BFA
Cambodia,Cambodia,KHM
Cameroon,Cameroon,CMR
Central African Rep.,Central African Republic,CAF
Chad,Chad,TCD
Chile,Chile,CHL
Colombia,Colombia,COL
Comoros,Comoros,COM
"Congo, Dem. Rep. of","Congo, Dem. Rep.",COD
"Congo, Rep. of","Congo, Rep.",COG
Costa Rica,Costa Rica,CRI
Côte d’Ivoire,Côte d'Ivoire,CIV
Dominican Republic,Dominican Republic,DOM
Ecuador,Ecuador,ECU
Egypt,"Egypt, Arab Rep.",EGY
El Salvador,El Salvador,SLV
Equatorial Guinea,Equatorial Guinea,GNQ
Estonia,Estonia,EST
Ethiopia,Ethiopia,ETH
Fiji,Fiji,FJI
Gabon,Gabon,GAB
"Gambia, The","Gambia, The",GMB
Georgia,Georgia,GEO
Ghana,Ghana,GHA
Greece,Greece,GRC
Guatemala,Guatemala,GTM
Guinea,Guinea,GIN
Guinea-Bissau,Guinea-Bissau,GNB
Guyana,Guyana,GUY
Haiti,Haiti,HTI
Honduras,Honduras,HND
Indonesia,Indonesia,IDN
"Iran, I.R. of","Iran, Islamic Rep.",IRN
Jamaica,Jamaica,JAM
Jordan,Jordan,JOR
Kazakhstan,Kazakhstan,KAZ
Kenya,Kenya,KEN
Korea,"Korea, Rep.",KOR
Kyrgyz Republic,Kyrgyz Republic,KGZ
Lao People’s Dem. Rep.,Lao PDR,LAO
Latvia,Latvia,LVA
Lebanon,Lebanon,LBN
Lesotho,Lesotho,LSO
Libya,Libya,LBY
Lithuania,Lithuania,LTU
Madagascar,Madagascar,MDG
Malawi,Malawi,MWI
Malaysia,Malaysia,MYS
Maldives,Maldives,MDV
Mali,Mali,MLI
Mauritania,Mauritania,MRT
Mexico,Mexico,MEX
Moldova,Moldova,MDA
Mongolia,Mongolia,MNG
Morocco,Morocco,MAR
Mozambique,Mozambique,MOZ
Myanmar,Myanmar,MMR
Namibia,Namibia,NAM
Nepal,Nepal,NPL
New Caledonia,New Caledonia,NCL
Nicaragua,Nicaragua,NIC
Niger,Niger,NER
Nigeria,Nigeria,NGA
Pakistan,Pakistan,PAK
Papua New Guinea,Papua New Guinea,PNG
Paraguay,Paraguay,PRY
Peru,Peru,PER
Philippines,Philippines,PHL
Portugal,Portugal,PRT
Romania,Romania,ROU
Russia,Russian Federation,RUS
Rwanda,Rwanda,RWA
Senegal,Senegal,SEN
"Serbia, Republic of",Serbia,SRB
Seychelles,Seychelles,SYC
Sierra Leone,Sierra Leone,SLE
South Africa,South Africa,ZAF
South Sudan,South Sudan,SSD
Sri Lanka,Sri Lanka,LKA
Sudan,Sudan,SDN
Suriname,Suriname,SUR
Swaziland,Eswatini,SWZ
Syrian Arab Republic,Syrian Arab Republic,SYR
São Tomé and Principe,São Tomé and Príncipe,STP
Tajikistan,Tajikistan,TJK
Tanzania,Tanzania,TZA
Thailand,Thailand,THA
Togo,Togo,TGO
Trinidad and Tobago,Trinidad and Tobago,TTO
Turkey,Türkiye,TUR
Turkmenistan,Turkmenistan,TKM
Uganda,Uganda,UGA
Ukraine,Ukraine,UKR
Uruguay,Uruguay,URY
Uzbekistan,Uzbekistan,UZB
Venezuela,"Venezuela, RB",VEN
Vietnam,Viet Nam,VNM
Yemen,"Yemen, Rep.",YEM
Zambia,Zambia,ZMB
Zimbabwe,Zimbabwe,ZWE
