iso3,date,year,month,exchange_rate,depreciation,is_structural_break
AGO,1990-01-31,1990,1,2.9918e-08,,False
AGO,1990-02-28,1990,2,2.9918e-08,0.0,False
AGO,1990-03-31,1990,3,2.9918e-08,0.0,False
AGO,1990-04-30,1990,4,2.9918e-08,0.0,False
AGO,1990-05-31,1990,5,2.9918e-08,0.0,False
AGO,1990-06-30,1990,6,2.9918e-08,0.0,False
AGO,1990-07-31,1990,7,2.9918e-08,0.0,False
AGO,1990-08-31,1990,8,2.9918e-08,0.0,False
AGO,1990-09-30,1990,9,2.9918e-08,0.0,False
AGO,1990-10-31,1990,10,2.9918e-08,0.0,False
AGO,1990-11-30,1990,11,2.9918e-08,0.0,False
AGO,1990-12-31,1990,12,2.9918e-08,0.0,False
AGO,1991-01-31,1991,1,2.9918e-08,0.0,False
AGO,1991-02-28,1991,2,2.9918e-08,0.0,False
AGO,1991-03-31,1991,3,5.9836e-08,1.0,False
AGO,1991-04-30,1991,4,5.9836e-08,0.0,False
AGO,1991-05-31,1991,5,5.9836e-08,0.0,False
AGO,1991-06-30,1991,6,5.9836e-08,0.0,False
AGO,1991-07-31,1991,7,6e-08,0.002740824921452001,False
AGO,1991-08-31,1991,8,6e-08,0.0,False
AGO,1991-09-30,1991,9,6e-08,0.0,False
AGO,1991-10-31,1991,10,6e-08,0.0,False
AGO,1991-11-30,1991,11,9e-08,0.5,False
AGO,1991-12-31,1991,12,1.8e-07,1.0,False
AGO,1992-01-31,1992,1,1.8e-07,0.0,False
AGO,1992-02-29,1992,2,1.8e-07,0.0,False
AGO,1992-03-31,1992,3,1.8e-07,0.0,False
AGO,1992-04-30,1992,4,5.5e-07,2.055555555555556,False
AGO,1992-05-31,1992,5,5.5e-07,0.0,False
AGO,1992-06-30,1992,6,5.5e-07,0.0,False
AGO,1992-07-31,1992,7,5.5e-07,0.0,False
AGO,1992-08-31,1992,8,5.5e-07,0.0,False
AGO,1992-09-30,1992,9,5.5e-07,0.0,False
AGO,1992-10-31,1992,10,5.5e-07,0.0,False
AGO,1992-11-30,1992,11,5.5e-07,0.0,False
AGO,1992-12-31,1992,12,5.5e-07,0.0,False
AGO,1993-01-31,1993,1,5.507e-06,9.012727272727272,False
AGO,1993-02-28,1993,2,6.965e-06,0.2647539495187943,False
AGO,1993-03-31,1993,3,4e-06,-0.42569992821249103,False
AGO,1993-04-30,1993,4,4e-06,0.0,False
AGO,1993-05-31,1993,5,4e-06,0.0,False
AGO,1993-06-30,1993,6,4e-06,0.0,False
AGO,1993-07-31,1993,7,4e-06,0.0,False
AGO,1993-08-31,1993,8,4e-06,0.0,False
AGO,1993-09-30,1993,9,4e-06,0.0,False
AGO,1993-10-31,1993,10,6.5e-06,0.625,False
AGO,1993-11-30,1993,11,6.5e-06,0.0,False
AGO,1993-12-31,1993,12,6.5e-06,0.0,False
AGO,1994-01-31,1994,1,6.5e-06,0.0,False
AGO,1994-02-28,1994,2,1.7836e-05,1.7440000000000002,False
AGO,1994-03-31,1994,3,3.5e-05,0.9623233908948192,False
AGO,1994-04-30,1994,4,6.7621e-05,0.9320285714285714,False
AGO,1994-05-31,1994,5,7.3799e-05,0.09136215081113863,False
AGO,1994-06-30,1994,6,0.000113488,0.5377986151573868,False
AGO,1994-07-31,1994,7,0.000125104,0.10235443394896371,False
AGO,1994-08-31,1994,8,0.000135316,0.08162808543291988,False
AGO,1994-09-30,1994,9,0.000140473,0.0381107925152977,False
AGO,1994-10-31,1994,10,0.000413372,1.9427149701366098,False
AGO,1994-11-30,1994,11,0.000470296,0.13770647262030322,False
AGO,1994-12-31,1994,12,0.000509262,0.08285420245972763,False
AGO,1995-01-31,1995,1,0.000539827,0.06001822244738464,False
AGO,1995-02-28,1995,2,0.000572507,0.06053791307215084,False
AGO,1995-03-31,1995,3,0.000598857,0.04602563811446836,False
AGO,1995-04-30,1995,4,0.000855777,0.429017277914427,False
AGO,1995-05-31,1995,5,0.002142647,1.5037445502741957,False
AGO,1995-06-30,1995,6,0.002216915,0.03466179916710477,False
AGO,1995-07-31,1995,7,0.002438,0.09972642162644951,False
AGO,1995-08-31,1995,8,0.003224,0.3223954060705496,False
AGO,1995-09-30,1995,9,0.005692,0.7655086848635237,False
AGO,1995-10-31,1995,10,0.005692,0.0,False
AGO,1995-11-30,1995,11,0.005692,0.0,False
AGO,1995-12-31,1995,12,0.005692,0.0,False
AGO,1996-01-31,1996,1,0.005692,0.0,False
AGO,1996-02-29,1996,2,0.013057,1.293921293042867,False
AGO,1996-03-31,1996,3,0.038,1.9103163054300376,False
AGO,1996-04-30,1996,4,0.046806,0.23173684210526324,False
AGO,1996-05-31,1996,5,0.095702,1.0446523949920947,False
AGO,1996-06-30,1996,6,0.161386,0.686338843493344,False
AGO,1996-07-31,1996,7,0.201994,0.2516203388150149,False
AGO,1996-08-31,1996,8,0.201994,0.0,False
AGO,1996-09-30,1996,9,0.201994,0.0,False
AGO,1996-10-31,1996,10,0.201994,0.0,False
AGO,1996-11-30,1996,11,0.201994,0.0,False
AGO,1996-12-31,1996,12,0.201994,0.0,False
AGO,1997-01-31,1997,1,0.201994,0.0,False
AGO,1997-02-28,1997,2,0.201994,0.0,False
AGO,1997-03-31,1997,3,0.201994,0.0,False
AGO,1997-04-30,1997,4,0.201994,0.0,False
AGO,1997-05-31,1997,5,0.201994,0.0,False
AGO,1997-06-30,1997,6,0.201994,0.0,False
AGO,1997-07-31,1997,7,0.262376,0.2989296711783518,False
AGO,1997-08-31,1997,8,0.262376,0.0,False
AGO,1997-09-30,1997,9,0.262376,0.0,False
AGO,1997-10-31,1997,10,0.262376,0.0,False
AGO,1997-11-30,1997,11,0.262376,0.0,False
AGO,1997-12-31,1997,12,0.262376,0.0,False
AGO,1998-01-31,1998,1,0.262376,0.0,False
AGO,1998-02-28,1998,2,0.262376,0.0,False
AGO,1998-03-31,1998,3,0.262376,0.0,False
AGO,1998-04-30,1998,4,0.262376,0.0,False
AGO,1998-05-31,1998,5,0.262376,0.0,False
AGO,1998-06-30,1998,6,0.3096465,0.18016320090252158,False
