country,crisis_year
Albania,1997
Algeria,1988
Algeria,1994
Angola,1991
Angola,1996
Angola,2015
Argentina,1975
Argentina,1981
Argentina,1987
Argentina,2002
Argentina,2013
Azerbaijan,2015
Bangladesh,1976
Belarus,1997
Belarus,2009
Belarus,2015
Benin,1994
Bolivia,1973
Bolivia,1981
Botswana,1984
Brazil,1976
Brazil,1982
Brazil,1987
Brazil,1992
Brazil,1999
Brazil,2015
Bulgaria,1996
Burkina Faso,1994
Cambodia,1971
Cambodia,1992
Cameroon,1994
Central African Rep.,1994
Chad,1994
Chile,1972
Chile,1982
Colombia,1985
Comoros,1994
"Congo, Dem. Rep. of",1976
"Congo, Dem. Rep. of",1983
"Congo, Dem. Rep. of",1989
"Congo, Dem. Rep. of",1994
"Congo, Dem. Rep. of",1999
"Congo, Dem. Rep. of",2009
"Congo, Dem. Rep. of",2016
"Congo, Rep. of",1994
Costa Rica,1981
Costa Rica,1991
Côte d’Ivoire,1994
Dominican Republic,1985
Dominican Republic,1990
Dominican Republic,2003
Ecuador,1982
Ecuador,1999
Egypt,1979
Egypt,1990
Egypt,2016
El Salvador,1986
Equatorial Guinea,1980
Equatorial Guinea,1994
Estonia,1992
Ethiopia,1993
Fiji,1998
Finland,1993
Gabon,1994
"Gambia, The",1985
"Gambia, The",2003
Georgia,1992
Georgia,1999
Ghana,1978
Ghana,1983
Ghana,1993
Ghana,2000
Ghana,2009
Ghana,2014
Greece,1983
Guatemala,1986
Guinea,1982
Guinea,2005
Guinea-Bissau,1980
Guinea-Bissau,1994
Guyana,1987
Haiti,1992
Haiti,2003
Honduras,1990
Iceland,1975
Iceland,1981
Iceland,1989
Iceland,2008
Indonesia,1979
Indonesia,1998
"Iran, I.R. of",1985
"Iran, I.R. of",1993
"Iran, I.R. of",2000
"Iran, I.R. of",2013
Israel,1975
Israel,1980
Israel,1985
Italy,1981
Jamaica,1978
Jamaica,1983
Jamaica,1991
Jordan,1989
Kazakhstan,1999
Kazakhstan,2015
Kenya,1993
Korea,1998
Kyrgyz Republic,1997
Lao People’s Dem. Rep.,1972
Lao People’s Dem. Rep.,1978
Lao People’s Dem. Rep.,1986
Lao People’s Dem. Rep.,1997
Latvia,1992
Lebanon,1984
Lebanon,1990
Lesotho,1985
Lesotho,2015
Libya,2002
Lithuania,1992
Madagascar,1984
Madagascar,1994
Madagascar,2004
Malawi,1994
Malawi,2012
Malaysia,1998
Maldives,1975
Mali,1994
Mauritania,1993
Mexico,1977
Mexico,1982
Mexico,1995
Moldova,1999
Mongolia,1990
Mongolia,1997
Morocco,1981
Mozambique,1987
Mozambique,2015
Myanmar,1975
Myanmar,1990
Myanmar,1996
Myanmar,2001
Myanmar,2007
Myanmar,2012
Namibia,1984
Namibia,2015
Nepal,1984
Nepal,1992
New Caledonia,1981
New Zealand,1984
Nicaragua,1979
Nicaragua,1985
Nicaragua,1990
Niger,1994
Nigeria,1983
Nigeria,1989
Nigeria,1997
Nigeria,2016
Pakistan,1972
Papua New Guinea,1995
Paraguay,1984
Paraguay,1989
Paraguay,2002
Peru,1976
Peru,1981
Peru,1988
Philippines,1983
Philippines,1998
Portugal,1983
Romania,1996
Russia,1998
Russia,2014
Rwanda,1991
Senegal,1994
"Serbia, Republic of",2000
Seychelles,2008
Sierra Leone,1983
Sierra Leone,1989
Sierra Leone,1998
South Africa,1984
South Africa,2015
South Sudan,2015
Spain,1983
Sri Lanka,1978
Sudan,1981
Sudan,1988
Sudan,1993
Sudan,2012
Suriname,1990
Suriname,1995
Suriname,2001
Suriname,2016
Swaziland,1985
Swaziland,2015
Sweden,1993
Syrian Arab Republic,1988
São Tomé and Principe,1987
São Tomé and Principe,1992
São Tomé and Principe,1997
Tajikistan,1999
Tajikistan,2015
Tanzania,1985
Tanzania,1990
Thailand,1998
Togo,1994
Trinidad and Tobago,1986
Turkey,1978
Turkey,1984
Turkey,1991
Turkey,1996
Turkey,2001
Turkmenistan,2008
Uganda,1980
Uganda,1988
Ukraine,1998
Ukraine,2009
Ukraine,2014
Uruguay,1972
Uruguay,1983
Uruguay,1990
Uruguay,2002
Uzbekistan,2000
Venezuela,1984
Venezuela,1989
Venezuela,1994
Venezuela,2002
Venezuela,2010
Vietnam,1972
Vietnam,1981
Vietnam,1987
Yemen,1985
Yemen,1995
Zambia,1983
Zambia,1989
Zambia,1996
Zambia,2009
Zambia,2015
Zimbabwe,1983
Zimbabwe,1991
Zimbabwe,1998
Zimbabwe,2003
