iso3,date,year,month,dep_1m,dep_mean_3m,dep_vol_3m,dep_cum_3m,dep_mean_6m,dep_vol_6m,dep_cum_6m,dep_mean_12m,dep_vol_12m,dep_cum_12m,dep_skew_6m,dep_kurt_6m,dep_max_6m,dep_es90_6m,dep_skew_12m,dep_kurt_12m,dep_max_12m,dep_es90_12m,extreme_count_3m,extreme_count_6m,extreme_count_12m,target,macro_current_account_pct_gdp,macro_exports_vol_pct,macro_fiscal_balance_pct_gdp,macro_gdp_growth_pct,macro_gdp_usd_bn,macro_govt_gross_debt_pct_gdp,macro_gross_savings_pct_gdp,macro_imports_vol_pct,macro_inflation_avg_pct,macro_inflation_eop_pct,macro_investment_pct_gdp
AGO,1990-01-31,1990,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,
AGO,1990-02-28,1990,2,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,
AGO,1990-03-31,1990,3,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,
AGO,1990-04-30,1990,4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,
AGO,1990-05-31,1990,5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,-3.0,0.0,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,
AGO,1990-06-30,1990,6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,-3.0,0.0,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,
AGO,1990-07-31,1990,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,,0.0,0.0,0.0,1.0,,,,,,,,,,,
AGO,1990-08-31,1990,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,,0.0,0.0,0.0,1.0,,,,,,,,,,,
AGO,1990-09-30,1990,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,,0.0,0.0,0.0,1.0,,,,,,,,,,,
AGO,1990-10-31,1990,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,,0.0,0.0,0.0,1.0,,,,,,,,,,,
