iso3,year,variable,weo_code,value,is_forecast
AGO,1990,current_account_pct_gdp,BCA_NGDPD,-1.425,False
AGO,1991,current_account_pct_gdp,BCA_NGDPD,-3.617,False
AGO,1992,current_account_pct_gdp,BCA_NGDPD,-5.948,False
AGO,1993,current_account_pct_gdp,BCA_NGDPD,-7.456,False
AGO,1994,current_account_pct_gdp,BCA_NGDPD,-5.205,False
AGO,1995,current_account_pct_gdp,BCA_NGDPD,-3.621,False
AGO,1996,current_account_pct_gdp,BCA_NGDPD,31.078,False
AGO,1997,current_account_pct_gdp,BCA_NGDPD,-7.158,False
AGO,1998,current_account_pct_gdp,BCA_NGDPD,-17.844,False
AGO,1999,current_account_pct_gdp,BCA_NGDPD,-17.285,False
AGO,2000,current_account_pct_gdp,BCA_NGDPD,6.291,False
AGO,2001,current_account_pct_gdp,BCA_NGDPD,-11.56,False
AGO,2002,current_account_pct_gdp,BCA_NGDPD,-0.867,False
AGO,2003,current_account_pct_gdp,BCA_NGDPD,-3.537,False
AGO,2004,current_account_pct_gdp,BCA_NGDPD,2.523,False
AGO,2005,current_account_pct_gdp,BCA_NGDPD,12.411,False
AGO,2006,current_account_pct_gdp,BCA_NGDPD,18.225,False
AGO,2007,current_account_pct_gdp,BCA_NGDPD,14.487,False
AGO,2008,current_account_pct_gdp,BCA_NGDPD,7.282,False
AGO,2009,current_account_pct_gdp,BCA_NGDPD,-9.267,False
AGO,2010,current_account_pct_gdp,BCA_NGDPD,7.856,False
AGO,2011,current_account_pct_gdp,BCA_NGDPD,10.422,False
AGO,2012,current_account_pct_gdp,BCA_NGDPD,9.649,False
AGO,2013,current_account_pct_gdp,BCA_NGDPD,5.429,False
AGO,2014,current_account_pct_gdp,BCA_NGDPD,-2.279,False
AGO,2015,current_account_pct_gdp,BCA_NGDPD,-7.802,False
AGO,2016,current_account_pct_gdp,BCA_NGDPD,-2.688,False
AGO,1990,exports_vol_pct,TX_RPCH,14.6,False
AGO,1991,exports_vol_pct,TX_RPCH,0.186,False
AGO,1992,exports_vol_pct,TX_RPCH,8.359,False
AGO,1993,exports_vol_pct,TX_RPCH,-8.275,False
AGO,1994,exports_vol_pct,TX_RPCH,8.236,False
AGO,1995,exports_vol_pct,TX_RPCH,12.24,False
AGO,1996,exports_vol_pct,TX_RPCH,10.698,False
AGO,1997,exports_vol_pct,TX_RPCH,6.02,False
AGO,1998,exports_vol_pct,TX_RPCH,2.536,False
AGO,1999,exports_vol_pct,TX_RPCH,1.426,False
AGO,2000,exports_vol_pct,TX_RPCH,1.624,False
AGO,2001,exports_vol_pct,TX_RPCH,-2.578,False
AGO,2002,exports_vol_pct,TX_RPCH,23.562,False
AGO,2003,exports_vol_pct,TX_RPCH,-1.931,False
AGO,2004,exports_vol_pct,TX_RPCH,13.537,False
