feature,coef,group,abs
dep_mean_6m,4.99082498580345,conventional,4.99082498580345
dep_vol_12m,-4.482834630554364,conventional,4.482834630554364
dep_mean_12m,3.6145499150858664,conventional,3.6145499150858664
dep_cum_6m,3.602905524985617,conventional,3.602905524985617
dep_vol_6m,-3.13875480274962,conventional,3.13875480274962
extreme_count_12m,-2.79378112378969,tail,2.79378112378969
dep_max_12m,-2.4489606442134533,tail,2.4489606442134533
dep_cum_12m,1.8444660664731043,conventional,1.8444660664731043
dep_max_6m,-1.820390849939172,tail,1.820390849939172
dep_es90_6m,-1.820390849939172,tail,1.820390849939172
dep_vol_3m,-1.7108252272987698,conventional,1.7108252272987698
dep_mean_3m,1.68935628027672,conventional,1.68935628027672
extreme_count_6m,1.6681184726004505,tail,1.6681184726004505
dep_cum_3m,1.399273711330273,conventional,1.399273711330273
macro_gross_savings_pct_gdp,1.1778422394640504,macro,1.1778422394640504
macro_current_account_pct_gdp,-0.9269245036931592,macro,0.9269245036931592
dep_1m,0.8972075767110949,conventional,0.8972075767110949
dep_kurt_12m,-0.8472878707722309,tail,0.8472878707722309
macro_investment_pct_gdp,-0.8453218250650252,macro,0.8453218250650252
dep_es90_12m,-0.7132589345857542,tail,0.7132589345857542
macro_exports_vol_pct,-0.23896057203026064,macro,0.23896057203026064
macro_inflation_avg_pct,-0.21020945292296814,macro,0.21020945292296814
dep_skew_12m,0.1979574703798328,tail,0.1979574703798328
extreme_count_3m,0.1957481816668115,tail,0.1957481816668115
macro_gdp_growth_pct,-0.17281815633926964,macro,0.17281815633926964
dep_kurt_6m,-0.1582547954889514,tail,0.1582547954889514
dep_skew_6m,0.13666184624697256,tail,0.13666184624697256
macro_imports_vol_pct,-0.11872449744932753,macro,0.11872449744932753
macro_inflation_eop_pct,0.109592758112596,macro,0.109592758112596
macro_govt_gross_debt_pct_gdp,-0.1053338387455217,macro,0.1053338387455217
macro_fiscal_balance_pct_gdp,-0.10485494483077527,macro,0.10485494483077527
macro_gdp_usd_bn,0.011946362375668955,macro,0.011946362375668955
