feature,group,importance
macro_gross_savings_pct_gdp,macro,0.005779888051397053
dep_skew_12m,tail,0.003691056613108143
extreme_count_6m,tail,0.003275286059264317
dep_skew_6m,tail,0.0025046339819929223
dep_vol_12m,conventional,0.0018992032598637311
extreme_count_12m,tail,0.0013666325636716165
dep_vol_6m,conventional,0.0012350609669164053
macro_gdp_usd_bn,macro,0.0009950891236624668
dep_mean_12m,conventional,0.0009243101698892545
macro_govt_gross_debt_pct_gdp,macro,0.0008829512526509979
dep_max_6m,tail,0.0008004703324780551
dep_max_12m,tail,0.0007960462190119835
dep_es90_6m,tail,0.0007190043983728304
dep_vol_3m,conventional,0.0006896079201192139
extreme_count_3m,tail,0.0006332093897703603
dep_es90_12m,tail,0.0006250355411187233
dep_mean_6m,conventional,0.0004881844807223007
dep_1m,conventional,0.00041840326232119897
dep_kurt_6m,tail,0.0004137373647530154
dep_kurt_12m,tail,0.00040632241751044595
macro_inflation_eop_pct,macro,0.00037598304436539247
dep_cum_12m,conventional,0.00019385388109942719
dep_cum_3m,conventional,0.0001854252515206708
macro_fiscal_balance_pct_gdp,macro,0.00017193562440189907
dep_mean_3m,conventional,-0.00011289212874993175
dep_cum_6m,conventional,-0.0004412997109225013
macro_inflation_avg_pct,macro,-0.0009872550474121686
macro_gdp_growth_pct,macro,-0.0013770824142169565
macro_imports_vol_pct,macro,-0.001836084494670973
macro_exports_vol_pct,macro,-0.0025595010923115686
macro_investment_pct_gdp,macro,-0.0026891274752593626
macro_current_account_pct_gdp,macro,-0.002914857002177417
