year,n_crisis,pr_conv,pr_conv_tail,diff
2002,36,0.050179157365316876,0.07315936311226579,0.02298020574694891
2003,12,0.007431219862053494,0.0076985764074975205,0.0002673565454440266
2004,12,0.012087001230035433,0.03279139712775641,0.020704395897720974
2006,12,0.0060348513993778935,0.006397380498896971,0.00036252909951907733
2007,12,0.12108688834319215,0.16807743698444935,0.04699054864125721
2008,60,0.06940570052652748,0.06882862437444867,-0.0005770761520788037
2009,12,0.027777777777777776,0.024539877300613498,-0.0032379004771642787
2011,24,0.022223259853453362,0.029566401899576773,0.007343142046123411
2012,12,0.01151536334552548,0.00906543421337745,-0.0024499291321480304
2013,36,0.03073835950475245,0.036865399598837695,0.006127040094085243
2014,144,0.1367411863148879,0.17156887296884063,0.03482768665395272
2015,48,0.050181279633910385,0.06989429719988109,0.019713017565970707
