max_depth,learning_rate,n_estimators,min_child_weight,reg_lambda,subsample,colsample_bytree,valid_pr_auc
4,0.1,400,5,5.0,0.8,0.8,0.01860498596592013
4,0.1,400,1,5.0,0.8,0.8,0.01857260303256259
2,0.1,150,1,5.0,0.8,0.8,0.018387087640725865
2,0.1,150,5,5.0,0.8,0.8,0.018273129800007174
4,0.1,150,5,5.0,0.8,0.8,0.017751168832525407
3,0.1,400,5,5.0,0.8,0.8,0.017686185462031247
4,0.03,400,1,5.0,0.8,0.8,0.017635014034883593
3,0.1,150,5,5.0,0.8,0.8,0.017589351144494742
4,0.03,400,5,5.0,0.8,0.8,0.017298547333889962
2,0.1,400,5,5.0,0.8,0.8,0.017114749789206546
3,0.03,400,1,1.0,0.8,0.8,0.01699531105651515
4,0.1,400,5,1.0,0.8,0.8,0.016981426007355443
3,0.1,400,1,5.0,0.8,0.8,0.016850333799836074
3,0.03,400,5,1.0,0.8,0.8,0.0167188123170047
4,0.1,400,1,1.0,0.8,0.8,0.016508118350286607
3,0.1,150,5,1.0,0.8,0.8,0.016363364237667467
4,0.1,150,5,1.0,0.8,0.8,0.016325574099328666
4,0.03,400,5,1.0,0.8,0.8,0.01631716318490862
3,0.1,150,1,5.0,0.8,0.8,0.016296005507972035
3,0.1,400,5,1.0,0.8,0.8,0.016268286113438016
4,0.1,150,1,5.0,0.8,0.8,0.016217679820296742
4,0.03,150,5,5.0,0.8,0.8,0.01600522631639574
3,0.03,400,1,5.0,0.8,0.8,0.015989353024259037
3,0.03,400,5,5.0,0.8,0.8,0.015804780809094303
2,0.1,400,1,5.0,0.8,0.8,0.01580056127898971
4,0.1,150,1,1.0,0.8,0.8,0.015612585561803057
4,0.03,150,5,1.0,0.8,0.8,0.015594476075583936
4,0.03,150,1,1.0,0.8,0.8,0.015577897789608436
3,0.1,400,1,1.0,0.8,0.8,0.015561306169240955
4,0.03,400,1,1.0,0.8,0.8,0.015550145793391373
2,0.1,150,5,1.0,0.8,0.8,0.01536914031736895
4,0.03,150,1,5.0,0.8,0.8,0.015360346814585233
2,0.1,150,1,1.0,0.8,0.8,0.015111835756788337
2,0.1,400,5,1.0,0.8,0.8,0.014994490083153095
2,0.03,150,1,5.0,0.8,0.8,0.014960110038984432
2,0.03,150,5,5.0,0.8,0.8,0.014960110038984432
2,0.03,400,1,5.0,0.8,0.8,0.01461622873856234
3,0.03,150,1,1.0,0.8,0.8,0.01459268496636051
2,0.03,400,5,5.0,0.8,0.8,0.014589091158691773
2,0.03,150,1,1.0,0.8,0.8,0.014547797084823039
2,0.03,150,5,1.0,0.8,0.8,0.014547797084823039
3,0.03,150,5,1.0,0.8,0.8,0.01449586786364471
2,0.03,400,1,1.0,0.8,0.8,0.014422240035878086
2,0.1,400,1,1.0,0.8,0.8,0.01428229388063364
2,0.03,400,5,1.0,0.8,0.8,0.013802168771921846
3,0.03,150,5,5.0,0.8,0.8,0.01359778012717949
3,0.03,150,1,5.0,0.8,0.8,0.01359778012717949
3,0.1,150,1,1.0,0.8,0.8,0.013431825335172344
